domain,date,time(sec)
www.youtube.com,2/21/2021,212
www.youtube.com,2/22/2021,381
www.youtube.com,2/23/2021,339
www.youtube.com,2/24/2021,564
www.youtube.com,2/25/2021,1071
www.youtube.com,2/26/2021,7527
www.youtube.com,2/27/2021,5582
www.youtube.com,2/28/2021,3673
www.youtube.com,3/1/2021,7441
www.youtube.com,3/2/2021,5926
www.youtube.com,3/3/2021,7136
www.youtube.com,3/4/2021,13042
www.youtube.com,3/5/2021,3783
www.youtube.com,3/6/2021,6025
www.youtube.com,3/7/2021,1033
www.youtube.com,3/8/2021,1860
www.youtube.com,3/9/2021,4105
www.youtube.com,3/10/2021,11628
www.youtube.com,3/11/2021,1892
www.youtube.com,3/12/2021,12867
www.youtube.com,3/13/2021,7043
www.youtube.com,3/14/2021,3961
www.youtube.com,3/15/2021,3890
www.youtube.com,3/16/2021,2834
www.youtube.com,3/17/2021,4378
www.youtube.com,3/18/2021,2963
www.youtube.com,3/19/2021,2262
www.youtube.com,3/20/2021,3000
www.youtube.com,3/21/2021,5104
www.youtube.com,3/22/2021,8674
www.youtube.com,3/23/2021,8560
www.youtube.com,3/24/2021,4437
www.youtube.com,3/25/2021,3077
www.youtube.com,3/26/2021,2248
www.youtube.com,3/27/2021,5834
www.youtube.com,3/28/2021,2054
www.youtube.com,3/29/2021,2047
www.youtube.com,3/30/2021,4235
www.youtube.com,3/31/2021,5253
www.youtube.com,4/1/2021,2653
www.youtube.com,4/2/2021,4125
www.youtube.com,4/3/2021,4413
www.youtube.com,4/4/2021,3763
www.youtube.com,4/5/2021,20031
www.youtube.com,4/6/2021,4198
www.youtube.com,4/7/2021,2728
www.youtube.com,4/8/2021,3937
www.youtube.com,4/9/2021,1912
www.youtube.com,4/10/2021,9100
www.youtube.com,4/11/2021,1688
www.youtube.com,4/12/2021,5279
www.youtube.com,4/13/2021,1907
www.youtube.com,4/14/2021,83
www.youtube.com,4/15/2021,151
www.youtube.com,4/16/2021,5146
www.youtube.com,4/17/2021,1074
www.youtube.com,4/19/2021,1991
www.youtube.com,4/21/2021,385
www.youtube.com,4/22/2021,4671
www.youtube.com,4/23/2021,3116
www.youtube.com,4/24/2021,1956
www.youtube.com,4/25/2021,2738
www.youtube.com,4/26/2021,3230
www.youtube.com,4/27/2021,2275
www.youtube.com,4/28/2021,4721
www.youtube.com,4/29/2021,3832
www.youtube.com,4/30/2021,5453
www.youtube.com,5/1/2021,4785
www.youtube.com,5/2/2021,2949
www.youtube.com,5/3/2021,1981
www.youtube.com,5/4/2021,3068
